edad,genero,año,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad e indemnidad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas bancarias,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES
0-13 años,Masculino,2019,3105.0,7.0,6.0,1838.0,1122.0,138.0,1017.0,148.0,869.0,706.0,48.0,16.0,69.0,27.0,546.0,595.0,983.0,429.0,26.0,10.0,9.0,1.0,422.0,290.0,19.0,8.0,5.0,43.0,2.0,27.0,0.0,0.0,31.0,10.0,1.0,2.0,7.0,26.0,3.0,38.0,32.0,0.0,44.0
0-13 años,Femenino,2019,2053.0,9.0,3.0,962.0,981.0,101.0,1067.0,133.0,934.0,2112.0,170.0,61.0,112.0,30.0,1739.0,478.0,487.0,326.0,6.0,4.0,2.0,0.0,90.0,72.0,5.0,2.0,1.0,29.0,2.0,14.0,0.0,0.0,21.0,9.0,1.0,3.0,5.0,41.0,7.0,85.0,0.0,0.0,50.0
14-17 años,Masculino,2019,4800.0,21.0,3.0,4054.0,583.0,142.0,1735.0,81.0,1654.0,520.0,23.0,16.0,103.0,22.0,356.0,162.0,5608.0,2704.0,129.0,9.0,11.0,3.0,2340.0,1689.0,59.0,51.0,57.0,180.0,4.0,52.0,0.0,0.0,146.0,18.0,6.0,5.0,7.0,32.0,0.0,78.0,7.0,0.0,71.0
14-17 años,Femenino,2019,4517.0,4.0,0.0,2336.0,2062.0,115.0,2468.0,298.0,2170.0,2552.0,308.0,250.0,112.0,37.0,1845.0,179.0,4073.0,3154.0,36.0,6.0,8.0,3.0,579.0,398.0,15.0,25.0,8.0,150.0,7.0,28.0,0.0,0.0,118.0,27.0,5.0,5.0,17.0,79.0,7.0,482.0,2.0,0.0,105.0
18-30 años,Masculino,2019,20653.0,201.0,26.0,17962.0,2099.0,391.0,9250.0,158.0,9092.0,308.0,49.0,41.0,9.0,3.0,206.0,83.0,94048.0,42477.0,10870.0,7394.0,1541.0,1050.0,8122.0,5747.0,309.0,810.0,3376.0,18684.0,508.0,7839.0,10.0,3.0,2667.0,185.0,23.0,120.0,42.0,1014.0,7.0,417.0,620.0,1.0,844.0
18-30 años,Femenino,2019,27710.0,49.0,16.0,9474.0,17791.0,396.0,13346.0,2342.0,11004.0,3181.0,566.0,465.0,19.0,8.0,2123.0,694.0,91481.0,53701.0,6042.0,3615.0,1308.0,662.0,4322.0,2738.0,185.0,814.0,962.0,19401.0,601.0,5059.0,13.0,6.0,1975.0,94.0,11.0,51.0,32.0,966.0,5.0,4836.0,95.0,2.0,657.0
31-40 años,Masculino,2019,14914.0,162.0,34.0,12435.0,2008.0,309.0,11012.0,150.0,10862.0,120.0,16.0,12.0,3.0,2.0,87.0,185.0,99872.0,35083.0,18768.0,10857.0,3421.0,2791.0,4122.0,2670.0,233.0,745.0,4132.0,21413.0,642.0,13314.0,24.0,3.0,3013.0,180.0,21.0,107.0,52.0,1367.0,8.0,585.0,1623.0,2.0,706.0
31-40 años,Femenino,2019,24391.0,58.0,17.0,6522.0,17515.0,296.0,13851.0,2725.0,11126.0,1200.0,227.0,202.0,5.0,0.0,766.0,1787.0,75042.0,32552.0,8583.0,4031.0,2317.0,1548.0,2564.0,1461.0,157.0,669.0,1421.0,19605.0,648.0,8455.0,14.0,5.0,1843.0,86.0,16.0,40.0,30.0,1027.0,11.0,4974.0,142.0,1.0,775.0
41-64 años,Masculino,2019,24586.0,209.0,66.0,19906.0,3729.0,742.0,21561.0,458.0,21103.0,115.0,11.0,7.0,3.0,3.0,91.0,280.0,218842.0,70986.0,44091.0,20367.0,11261.0,7063.0,7062.0,4332.0,580.0,1246.0,7665.0,47883.0,1537.0,33959.0,46.0,6.0,7144.0,346.0,36.0,168.0,142.0,2556.0,27.0,1080.0,1245.0,0.0,1281.0
41-64 años,Femenino,2019,29338.0,80.0,36.0,9997.0,18694.0,567.0,20846.0,3271.0,17575.0,1181.0,235.0,190.0,4.0,7.0,745.0,1686.0,147000.0,59670.0,18212.0,5896.0,7534.0,3017.0,5248.0,3198.0,423.0,1041.0,2190.0,38668.0,1278.0,18668.0,34.0,8.0,4302.0,135.0,12.0,46.0,77.0,1678.0,9.0,5622.0,199.0,0.0,1304.0
